N,I,mean_quality,median_quality,p10_quality,success_rate,failure_rate,mean_tokens,median_tokens,p95_tokens,mean_agents,mean_reflections,feasible,fallback_utility,is_pareto
3,3,0.7128172804638413,0.7604722153040565,0.49108790608060576,0.6022222222222222,0.3977777777777778,5176.2487921436905,5156.480721985468,5558.173806442766,3.0,3.0,False,0.6196448022052549,False
3,4,0.5680033602490562,0.6375474413163897,0.2310697174117551,0.4688888888888889,0.5311111111111111,6194.493802137382,6165.602834082732,6651.889845374795,3.0,4.0,False,0.45650247181058334,False
4,0,0.8184745479502286,0.8263386054696792,0.739312176194818,0.9966666666666667,0.0033333333333333335,3904.6420203240355,3878.8448670008975,4198.5236211567835,4.0,0.0,False,0.748190991584396,False
4,1,0.7902993704951206,0.8209161049842285,0.6552908899860869,0.8822222222222222,0.11777777777777777,4711.2699028187,4690.970784784377,5050.797527172198,4.0,1.0,False,0.7054965122443839,False
4,2,0.7013679785657276,0.7438685220140137,0.47052595643367134,0.5777777777777777,0.4222222222222222,5617.4283689765,5587.908727519965,6020.1270696259635,4.0,2.0,False,0.6002542679241507,False
4,3,0.548807749300955,0.6085332032114354,0.20260999436481886,0.44333333333333336,0.5566666666666666,6633.032335261586,6599.969408711818,7096.382044768125,4.0,3.0,False,0.42941316726624645,False
4,4,0.362939721784814,0.4038665491159109,0.0,0.22555555555555556,0.7744444444444445,7772.2569504030425,7735.748853110848,8340.561537003312,4.0,4.0,False,0.22303909667755925,False
5,0,0.7549352847361446,0.7906457268052601,0.5923065690228959,0.7577777777777778,0.24222222222222223,5205.505175883168,5182.046413752081,5578.39680426304,5.0,0.0,False,0.6612361915702476,False
5,1,0.679697115013266,0.7284978091499785,0.44210789188741156,0.5522222222222222,0.4477777777777778,6112.961543689665,6080.663291031373,6543.295006483533,5.0,1.0,False,0.5696638072268521,False
5,2,0.528681282642324,0.5866457781635983,0.18027141253951365,0.4033333333333333,0.5966666666666667,7129.872711266753,7097.405939012625,7627.805799729654,5.0,2.0,False,0.4003435738395224,False
5,3,0.3431884477621843,0.37281765393276334,0.0,0.20555555555555555,0.7944444444444444,8266.142495328284,8221.095396460943,8844.441971204038,5.0,3.0,False,0.19439788284627524,False
5,4,0.21344998360546394,0.08027254579677574,0.0,0.08444444444444445,0.9155555555555556,9536.428349379821,9491.200216926345,10218.05596996692,5.0,4.0,False,0.04179427331662716,False
6,0,0.6241161575786405,0.6832530564723598,0.3477625635307121,0.52,0.48,6665.0478828412,6636.407162999379,7128.92442507382,6.0,0.0,False,0.5041452956874989,False
6,1,0.49547805573805426,0.5604540873089375,0.13022268935470577,0.35,0.65,7683.415584490713,7657.784278268111,8214.419904728178,6.0,1.0,False,0.35717657521722146,False
6,2,0.32503303115816823,0.3457961854181094,0.0,0.19555555555555557,0.8044444444444444,8821.14788088884,8791.002891293232,9429.540185285587,6.0,2.0,False,0.1662523693021691,False
6,3,0.19685848507437378,0.04362048016704896,0.0,0.057777777777777775,0.9422222222222222,10088.138967541521,10047.889549614294,10769.941168342631,6.0,3.0,False,0.01527198365862642,False
6,4,0.09097880343730028,0.0,0.0,0.0,1.0,11499.56769426545,11452.74675807415,12296.155992170774,6.0,4.0,False,-0.11601341505947779,False
